Line #,Port Code,MY,Model,Description,Package,Generic Color,Color,Accessories
1,PT,2026,29442A4S,SONATA SEL SPORT AWD,01-Standard,CARBON BLUE,XB9 / REY," / CF,CN,DP,EK,FK,FL / "
2,PT,2026,494E2F4S,ELANTRA SE,01-Standard,SERENITY WHITE,W6H / YFR, / CF / 
3,MA,2026,65402AT5,SANTA FE SE 2.5T AWD,01-STANDARD,HAMPTON GRAY,NT2 / NNB," / CF,CN / "
4,MA,2026,654F2ABS,SANTA FE HYBRID SEL AWD,01-STANDARD,ECOTRONIC GRAY,PE2 / YTH," / CF,CN,CO,CT,CV,EK,FK / "
5,SV,2026,74452AEZ,IONIQ 9 AWD SEL,01-Standard,SNOW WHITE,SWP / NNB," / CF,CO,CT,CV,FK,MG,RC / "
6,MA,2026,85432A4S,TUCSON SEL AWD,01-Standard,ECOTRONIC GRAY,PE2 / MMH," / CF,CN,CT,FK,ID,RP / "
7,MA,2026,85432A4S,TUCSON SEL AWD,01-Standard,PHANTOM BLACK,S3B / NNB," / CF,CN,CT,FK,ID,RP / "
8,MA,2026,85432A4S,TUCSON SEL AWD,01-Standard,SERENITY WHITE,W6H / MMH," / CF,CN,CT,FK,ID / "
9,PT,2026,854H2ABS,TUCSON HYBRID SEL AWD,01-Standard,AMAZON GRAY,A5G / NNB," / CF,CN,CT,CV,FK,MG / "
10,PT,2026,J2462A65,PALISADE SEL 8P AWD,01-STANDARD,ABYSS BLACK,A2B / NNB," / CF,CM,CN,EK,FK,ID,MG,UC / "
11,PT,2026,Q1402A45,KONA SE AWD,"01-Standard",ULTIMATE RED,R2P / NNB, / CF / 
12,PT,2026,Q14L2AT5,KONA SEL PREMIUM AWD,01-Standard,ULTIMATE RED,R2P / YPK," / CF,CR,FK,SW / "
